Fecha,Demanda,Temperatura,Viento
2020-01-01,24206.0580399,21.150000000000002,12.637526525458334
2020-01-02,28478.3172936,21.254166666666666,17.041707359416666
2020-01-03,29702.4361026,21.808333333333334,18.042019011291668
2020-01-04,28617.3925598,21.3125,16.593480129125002
2020-01-05,28215.973333500002,23.75,16.600200692208332
2020-01-06,29010.6415985,23.366666666666664,15.676777792791666
2020-01-07,29943.7651169,22.958333333333332,18.070550597291668
2020-01-08,32219.0880541,24.8875,19.732358535375003
2020-01-09,32334.981233,23.4875,17.797506085416668
2020-01-10,32395.102554,23.320833333333336,18.83423846870833
2020-01-11,30480.7829696,23.233333333333334,18.103341271041668
2020-01-12,28617.6680715,22.34166666666667,15.623261038875
2020-01-13,31597.457214000002,20.837500000000002,18.147878250833333
2020-01-14,33396.788506,24.5125,19.512886903083334
2020-01-15,33037.579258,22.516666666666666,16.311126648958332
2020-01-16,28216.5771698,19.204166666666666,17.132688689708335
2020-01-17,28345.4524827,19.175,15.442724141375
2020-01-18,27388.6237135,21.170833333333334,14.136256293958333
2020-01-19,28856.5603778,24.72083333333333,17.13596676475
2020-01-20,35555.12991,26.425,20.934864202125
2020-01-21,34428.284295,24.045833333333334,19.994998984833334
2020-01-22,34177.452477,24.066666666666666,20.005256917625
2020-01-23,33699.690156,23.091666666666665,20.032109813416668
2020-01-24,34340.561104,24.508333333333336,21.150000512416664
2020-01-25,32784.143818,23.954166666666666,18.934957865
2020-01-26,29737.1183146,22.895833333333332,16.04567836254167
2020-01-27,31252.735414,19.875,16.027201186125
2020-01-28,30641.8903002,20.270833333333332,17.680303292708334
2020-01-29,32406.96598,21.791666666666668,19.027690408875
2020-01-30,29325.8898014,20.175,17.446643750416666
2020-01-31,29286.7002352,18.837500000000002,16.672391946
2020-02-01,28799.8862739,22.3125,15.037438389541668
2020-02-02,29250.0080678,25.4875,16.585476433625
2020-02-03,35563.151372,25.820833333333336,21.292844334541666
2020-02-04,37213.335371,27.145833333333332,21.337999165875
2020-02-05,38279.77041,26.979166666666668,23.62324641520833
2020-02-06,39744.140828999996,27.920833333333334,23.583603625333335
2020-02-07,39122.264196,26.195833333333336,23.525909244791666
2020-02-08,31158.722781,22.21666666666667,14.8084991245
2020-02-09,25395.8479227,19.491666666666667,12.291799831458334
2020-02-10,28814.7447057,19.958333333333332,15.880776306916667
2020-02-11,29731.6047544,20.8,17.657338667833333
2020-02-12,30900.889356,21.766666666666666,18.216015371291665
2020-02-13,33308.583578,24.325,20.725914810916667
2020-02-14,34127.491133,23.59166666666667,18.36282978066667
2020-02-15,30941.805269,22.641666666666666,16.600393129
2020-02-16,32026.305904,26.379166666666666,19.320125244874998
2020-02-17,36234.045062,26.691666666666666,20.722300685041667
2020-02-18,31919.369643,22.3,16.662346961083333
2020-02-19,31581.923048,22.34166666666667,16.923435276625
2020-02-20,29503.984917,19.716666666666665,15.487143801041666
2020-02-21,28081.0013548,17.662499999999998,15.068018668541667
2020-02-22,25682.3198855,17.433333333333334,15.924952716166667
2020-02-23,24604.1855947,18.054166666666667,13.518664890083334
2020-02-24,27970.4689086,22.675,16.130884589666667
2020-02-25,28353.3528239,20.083333333333332,16.721188280666667
2020-02-26,28677.0354979,17.575,15.317324351583332
2020-02-27,29342.6890955,20.541666666666668,16.271384816458333
2020-02-28,30392.5409417,21.620833333333334,17.465303482083332
2020-02-29,29300.8111332,22.645833333333332,15.969827966958334
2020-03-01,28730.0677501,24.366666666666664,16.761646389541667
2020-03-02,33613.172039,24.270833333333332,21.928313386583337
2020-03-03,33448.478712,22.920833333333334,19.721488805708333
2020-03-04,33157.020792,22.224999999999998,19.750635026458333
2020-03-05,32354.997785,21.3125,18.375791208458335
2020-03-06,31854.119844,22.025000000000002,17.646235855166665
2020-03-07,29606.197549,22.46666666666667,16.092272941083333
2020-03-08,29208.4875744,25.745833333333334,17.13228393954167
2020-03-09,32827.284187,22.070833333333336,16.262952601125
2020-03-10,31410.388054,20.825,18.559312424625002
2020-03-11,30788.728129,20.866666666666667,16.104026506708333
2020-03-12,31932.911112,22.53333333333333,17.885500348666667
2020-03-13,33048.763737,22.97083333333333,18.399141281541667
