data_hora,Demanda_MW,Vel_viento
2015-10-06 14,1256.981694,8.669867514
2015-10-06 15,1228.350716,11.66567609
2015-10-06 16,1212.705669,7.639016953
2015-10-06 17,1204.187399,8.404957512
2015-10-06 18,1204.530605,7.734281997
2015-10-06 19,1254.55092,42.85137698
2015-10-06 20,1461.583262,36.50768766
2015-10-06 21,1510.616767,6.592707311
2015-10-06 22,1485.732609,19.87414784
2015-10-06 23,1403.518986,25.7529338
2015-10-07 00,1282.446489,48.61317792
2015-10-07 01,1133.122928,36.8000429
2015-10-07 02,1022.914578,31.2267539
2015-10-07 03,960.023978,8.762610333
2015-10-07 04,926.4751502,10.75959735
2015-10-07 05,923.0377987,9.410992431
2015-10-07 06,951.2972077,12.47488307
2015-10-07 07,1013.276137,18.88728736
2015-10-07 08,1127.333268,32.12869083
2015-10-07 09,1221.137395,24.48015099
2015-10-07 10,1282.169612,11.04135272
2015-10-07 11,1313.103968,10.20434112
2015-10-07 12,1339.457792,8.76774649
2015-10-07 13,1337.745302,9.351925026
2015-10-07 14,1310.80932,13.28358167
2015-10-07 15,1276.109767,13.91023679
2015-10-07 16,1260.240615,6.893041655
2015-10-07 17,1255.011589,8.136148846
2015-10-07 18,1269.61961,12.82553854
2015-10-07 19,1339.175948,43.76093014
2015-10-07 20,1492.496301,25.76435372
2015-10-07 21,1539.880214,8.789505837
2015-10-07 22,1507.888088,24.40912143
2015-10-07 23,1422.668266,26.36571757
2015-10-08 00,1313.88801,41.75673023
2015-10-08 01,1177.565502,39.83331432
2015-10-08 02,1053.319341,31.37363909
2015-10-08 03,980.4192856,16.47072033
2015-10-08 04,955.4523481,9.665544523
2015-10-08 05,963.5196318,9.438449699
2015-10-08 06,994.4382933,16.89514704
2015-10-08 07,1055.042154,17.47983551
2015-10-08 08,1171.503535,35.53289049
2015-10-08 09,1251.374298,12.54257305
2015-10-08 10,1281.591466,8.477734716
2015-10-08 11,1296.542708,7.685423214
2015-10-08 12,1316.234312,7.482765491
2015-10-08 13,1303.827751,7.380759367
2015-10-08 14,1285.641848,14.65906071
2015-10-08 15,1262.720148,10.82790808
2015-10-08 16,1240.117558,9.289961479
2015-10-08 17,1230.857599,7.922567633
2015-10-08 18,1215.548655,9.480305768
2015-10-08 19,1240.658481,20.03269001
2015-10-08 20,1461.104709,52.20357769
2015-10-08 21,1530.255215,8.665376857
2015-10-08 22,1504.052777,21.41845304
2015-10-08 23,1430.161775,19.15357806
2015-10-09 00,1330.867245,37.99952244
2015-10-09 01,1196.291963,41.92032607
